Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,latitude,longitude,altitude,UTM_northing,UTM_easting,Zone,letter
1663967657.2987862,0,160620,0,GPS1_Fram1,42.33945333333333,-71.08895166666667,1.0,4220.3672,7105.3371,19,T
1663967658.2841728,0,160680,0,GPS1_Fram1,42.339461666666665,-71.08895666666666,1.1,4220.3677,7105.3374,19,T
1663967659.2987394,0,160740,0,GPS1_Fram1,42.33947166666667,-71.08896166666666,1.0,4220.3683,7105.3377,19,T
1663967660.2818894,0,160800,0,GPS1_Fram1,42.33948,-71.08896833333333,1.0,4220.3688,7105.3381,19,T
1663967661.2825987,0,160860,0,GPS1_Fram1,42.339488333333335,-71.088975,1.0,4220.3693,7105.3385,19,T
1663967662.2833302,0,160920,0,GPS1_Fram1,42.339495,-71.088985,1.0,4220.3697,7105.3391,19,T
1663967663.2784958,0,160980,0,GPS1_Fram1,42.33950333333333,-71.08899333333333,1.2,4220.3702,7105.3396,19,T
1663967664.2813272,0,161040,0,GPS1_Fram1,42.33951,-71.08900166666666,1.2,4220.3706,7105.3401,19,T
1663967665.2998033,0,161100,0,GPS1_Fram1,42.33951666666667,-71.08901,1.2,4220.371,7105.3406,19,T
1663967666.2825072,0,161160,0,GPS1_Fram1,42.33952333333333,-71.08902,1.0,4220.3714,7105.3412,19,T
1663967667.300172,0,161220,0,GPS1_Fram1,42.339528333333334,-71.08903166666667,1.0,4220.3717,7105.3419,19,T
1663967668.2851849,0,161280,0,GPS1_Fram1,42.339535,-71.08904333333334,1.0,4220.3721,7105.3426,19,T
1663967669.2813995,0,161340,0,GPS1_Fram1,42.33954,-71.08905333333334,1.0,4220.3724,7105.3432,19,T
1663967670.282181,0,161400,0,GPS1_Fram1,42.339546666666664,-71.08906333333333,1.0,4220.3728,7105.3438,19,T
1663967671.2993894,0,161460,0,GPS1_Fram1,42.339551666666665,-71.08907333333333,1.0,4220.3731,7105.3444,19,T
1663967672.2825334,0,161520,0,GPS1_Fram1,42.339558333333336,-71.08908333333333,1.0,4220.3735,7105.345,19,T
1663967673.2811744,0,161580,0,GPS1_Fram1,42.339565,-71.08909,1.0,4220.3739,7105.3454,19,T
1663967674.3053398,0,161640,0,GPS1_Fram1,42.339573333333334,-71.08909666666666,1.0,4220.3744,7105.3458,19,T
1663967675.301054,0,161700,0,GPS1_Fram1,42.33958,-71.08910666666667,1.0,4220.3748,7105.3464,19,T
1663967676.2849467,0,161760,0,GPS1_Fram1,42.33958666666667,-71.089115,1.0,4220.3752,7105.3469,19,T
1663967677.2839608,0,161820,0,GPS1_Fram1,42.33959333333333,-71.08912166666667,1.0,4220.3756,7105.3473,19,T
1663967678.2832782,0,161880,0,GPS1_Fram1,42.3396,-71.08913333333334,1.0,4220.376,7105.348,19,T
1663967679.2830162,0,161940,0,GPS1_Fram1,42.33960666666667,-71.08914166666666,1.0,4220.3764,7105.3485,19,T
1663967680.2827947,0,162000,0,GPS1_Fram1,42.33961333333333,-71.08915,1.0,4220.3768,7105.349,19,T
1663967681.300305,0,162060,0,GPS1_Fram1,42.339621666666666,-71.08915666666667,1.0,4220.3773,7105.3494,19,T
1663967682.3002367,0,162120,0,GPS1_Fram1,42.33963,-71.08916333333333,1.0,4220.3778,7105.3498,19,T
1663967683.283433,0,162180,0,GPS1_Fram1,42.33963833333333,-71.08917,1.0,4220.3783,7105.3502,19,T
1663967684.2834446,0,162240,0,GPS1_Fram1,42.33964666666667,-71.08917666666666,1.0,4220.3788,7105.3506,19,T
1663967685.2816412,0,162300,0,GPS1_Fram1,42.339655,-71.08918333333334,1.0,4220.3793,7105.351,19,T
1663967686.2819152,0,162360,0,GPS1_Fram1,42.339661666666665,-71.08919166666666,1.0,4220.3797,7105.3515,19,T
1663967687.2818782,0,162420,0,GPS1_Fram1,42.339668333333336,-71.08919833333333,1.0,4220.3801,7105.3519,19,T
1663967688.2821655,0,162480,0,GPS1_Fram1,42.33967666666667,-71.089205,1.0,4220.3806,7105.3523,19,T
1663967689.3000274,0,162540,0,GPS1_Fram1,42.339688333333335,-71.08920833333333,1.0,4220.3813,7105.3525,19,T
1663967690.2818425,0,162600,0,GPS1_Fram1,42.33969833333333,-71.08921,1.0,4220.3819,7105.3526,19,T
1663967691.2812917,0,162660,0,GPS1_Fram1,42.339708333333334,-71.08921333333333,1.0,4220.3825,7105.3528,19,T
1663967692.2809854,0,162720,0,GPS1_Fram1,42.33971666666667,-71.08921333333333,1.0,4220.383,7105.3528,19,T
1663967693.2996125,0,162780,0,GPS1_Fram1,42.339726666666664,-71.08921333333333,1.0,4220.3836,7105.3528,19,T
1663967694.2997866,0,162840,0,GPS1_Fram1,42.33973666666667,-71.08921333333333,1.0,4220.3842,7105.3528,19,T
1663967695.3006077,0,162900,0,GPS1_Fram1,42.33974666666667,-71.08921166666667,1.0,4220.3848,7105.3527,19,T
1663967696.2811558,0,162960,0,GPS1_Fram1,42.33976,-71.08920833333333,1.0,4220.3856,7105.3525,19,T
1663967697.2817566,0,163020,0,GPS1_Fram1,42.339771666666664,-71.08920833333333,1.0,4220.3863,7105.3525,19,T
1663967698.282367,0,163080,0,GPS1_Fram1,42.33978166666667,-71.08921166666667,1.0,4220.3869,7105.3527,19,T
1663967699.2824204,0,163140,0,GPS1_Fram1,42.33979166666666,-71.08921666666667,1.0,4220.3875,7105.353,19,T
1663967700.2990022,0,165600,0,GPS1_Fram1,42.3398,-71.08922333333334,1.0,4220.388,7105.3534,19,T
1663967701.2823296,0,165660,0,GPS1_Fram1,42.33980666666667,-71.08923,1.0,4220.3884,7105.3538,19,T
1663967702.2820776,0,165720,0,GPS1_Fram1,42.339815,-71.08923666666666,1.0,4220.3889,7105.3542,19,T
1663967703.3004692,0,165780,0,GPS1_Fram1,42.339823333333335,-71.08924333333333,1.0,4220.3894,7105.3546,19,T
1663967704.2988575,0,165840,0,GPS1_Fram1,42.33983166666667,-71.08924833333333,1.0,4220.3899,7105.3549,19,T
1663967705.2816017,0,165900,0,GPS1_Fram1,42.33983833333333,-71.089255,1.0,4220.3903,7105.3553,19,T
1663967706.299737,0,165960,0,GPS1_Fram1,42.339848333333336,-71.08926166666667,1.0,4220.3909,7105.3557,19,T
1663967707.2998075,0,166020,0,GPS1_Fram1,42.33985666666667,-71.08926666666666,1.0,4220.3914,7105.356,19,T
1663967708.2820513,0,166080,0,GPS1_Fram1,42.339866666666666,-71.08927166666666,1.0,4220.392,7105.3563,19,T
1663967709.2823553,0,166140,0,GPS1_Fram1,42.33987666666667,-71.08927666666666,1.0,4220.3926,7105.3566,19,T
1663967710.2985747,0,166200,0,GPS1_Fram1,42.339885,-71.08928333333333,1.0,4220.3931,7105.357,19,T
1663967711.2819588,0,166260,0,GPS1_Fram1,42.339895,-71.08929,1.0,4220.3937,7105.3574,19,T
1663967712.2817862,0,166320,0,GPS1_Fram1,42.33990333333333,-71.089295,1.0,4220.3942,7105.3577,19,T
1663967713.2813005,0,166380,0,GPS1_Fram1,42.33991,-71.08930166666667,1.0,4220.3946,7105.3581,19,T
1663967714.2811227,0,166440,0,GPS1_Fram1,42.33992166666667,-71.08930333333333,1.0,4220.3953,7105.3582,19,T
1663967715.2817533,0,166500,0,GPS1_Fram1,42.339931666666665,-71.089305,1.0,4220.3959,7105.3583,19,T
1663967716.299248,0,166560,0,GPS1_Fram1,42.33994166666667,-71.08930666666667,1.0,4220.3965,7105.3584,19,T
1663967717.2807648,0,166620,0,GPS1_Fram1,42.339951666666664,-71.08931,1.0,4220.3971,7105.3586,19,T
1663967718.2989814,0,166680,0,GPS1_Fram1,42.33996,-71.08931333333334,1.0,4220.3976,7105.3588,19,T
1663967719.2820392,0,166740,0,GPS1_Fram1,42.33996666666667,-71.08931666666666,1.0,4220.398,7105.359,19,T
1663967720.2803965,0,166800,0,GPS1_Fram1,42.33997166666666,-71.08932,1.0,4220.3983,7105.3592,19,T
1663967721.2811515,0,166860,0,GPS1_Fram1,42.339978333333335,-71.08932333333334,1.0,4220.3987,7105.3594,19,T
1663967722.3021855,0,166920,0,GPS1_Fram1,42.339983333333336,-71.089325,0.9,4220.399,7105.3595,19,T
1663967723.284693,0,166980,0,GPS1_Fram1,42.339985,-71.08932666666666,0.9,4220.3991,7105.3596,19,T
1663967724.2846098,0,167040,0,GPS1_Fram1,42.33998666666667,-71.08932833333333,0.9,4220.3992,7105.3597,19,T
1663967725.3025422,0,167100,0,GPS1_Fram1,42.339985,-71.08932833333333,0.9,4220.3991,7105.3597,19,T
1663967726.301263,0,167160,0,GPS1_Fram1,42.339985,-71.08932666666666,0.9,4220.3991,7105.3596,19,T
1663967727.2844057,0,167220,0,GPS1_Fram1,42.33998833333333,-71.08932333333334,0.9,4220.3993,7105.3594,19,T
1663967728.2841825,0,167280,0,GPS1_Fram1,42.33998666666667,-71.08932333333334,1.0,4220.3992,7105.3594,19,T
1663967729.2834766,0,167340,0,GPS1_Fram1,42.33998666666667,-71.08932333333334,1.0,4220.3992,7105.3594,19,T
1663967730.2836246,0,167400,0,GPS1_Fram1,42.33998833333333,-71.08932333333334,1.0,4220.3993,7105.3594,19,T
1663967731.303571,0,167460,0,GPS1_Fram1,42.33998833333333,-71.08932333333334,1.0,4220.3993,7105.3594,19,T
1663967732.3029165,0,167520,0,GPS1_Fram1,42.33998833333333,-71.08932,1.0,4220.3993,7105.3592,19,T
1663967733.2822096,0,167580,0,GPS1_Fram1,42.33998666666667,-71.08931833333334,1.0,4220.3992,7105.3591,19,T
1663967734.2819424,0,167640,0,GPS1_Fram1,42.33998666666667,-71.08931833333334,1.0,4220.3992,7105.3591,19,T
1663967735.2823944,0,167700,0,GPS1_Fram1,42.339985,-71.08931666666666,1.0,4220.3991,7105.359,19,T
1663967736.2849817,0,167760,0,GPS1_Fram1,42.339985,-71.08931666666666,1.0,4220.3991,7105.359,19,T
1663967737.2837346,0,167820,0,GPS1_Fram1,42.339985,-71.08931666666666,1.0,4220.3991,7105.359,19,T
1663967738.2838423,0,167880,0,GPS1_Fram1,42.339985,-71.08931666666666,1.0,4220.3991,7105.359,19,T
1663967739.285292,0,167940,0,GPS1_Fram1,42.339985,-71.08931666666666,1.0,4220.3991,7105.359,19,T
1663967740.3037894,0,168000,0,GPS1_Fram1,42.339985,-71.08931666666666,1.0,4220.3991,7105.359,19,T
